Gene,SNAP-n
ZNF598,2.63E-05
TSKU,2.63E-05
AL049539.1,2.63E-05
MRPL45,2.63E-05
AP001178.3,2.62E-05
AL138478.1,2.62E-05
AC021546.1,2.62E-05
AASDHPPT,2.62E-05
AL161719.1,2.62E-05
CR559946.2,2.62E-05
AC004466.3,2.62E-05
AC004808.2,2.62E-05
PHOSPHO1,2.62E-05
IFIT1B,2.62E-05
CUL4B,2.61E-05
ACAD11,2.61E-05
LINC01765,2.61E-05
ZNF530,2.61E-05
SLC5A2,2.61E-05
AL133330.2,2.61E-05
FBXO43,2.61E-05
AC010609.1,2.61E-05
AC020928.2,2.61E-05
HCN2,2.61E-05
MT-TG,2.61E-05
WDR86-AS1,2.61E-05
OR1F1,2.61E-05
RN7SKP106,2.61E-05
ZNF32,2.61E-05
AC011511.3,2.61E-05
AC135048.1,2.61E-05
AC024270.5,2.60E-05
AL512408.1,2.60E-05
AC004449.1,2.60E-05
VPS37B,2.60E-05
BX324167.1,2.60E-05
AC008883.2,2.60E-05
AC022031.1,2.60E-05
AC147651.1,2.60E-05
AL670729.1,2.60E-05
AC010880.1,2.60E-05
AC090114.2,2.60E-05
AL096678.1,2.60E-05
AC100849.2,2.60E-05
CCL18,2.60E-05
AC007527.2,2.60E-05
MUC5AC,2.60E-05
AL360267.1,2.60E-05
SIAH1,2.59E-05
AC114546.1,2.59E-05
AC112211.1,2.59E-05
RN7SL531P,2.59E-05
AC073896.5,2.59E-05
AC018761.2,2.59E-05
AC013549.3,2.59E-05
CDKN1A,2.59E-05
AL590640.1,2.59E-05
AC073862.4,2.59E-05
AC107294.2,2.59E-05
KIAA1217,2.59E-05
SH2D2A,2.59E-05
LINC01281,2.58E-05
AF099810.1,2.58E-05
TSSC1-IT1,2.58E-05
AL365258.1,2.58E-05
TRPC7-AS1,2.58E-05
OR2AE1,2.58261E-05
MIR5009,2.58E-05
STARD13-AS,2.58E-05
MIR4447,2.58E-05
AC113385.1,2.58E-05
RERGL,2.58E-05
RNA5SP319,2.58E-05
AC098828.3,2.58E-05
CCDC63,2.58E-05
AL049840.2,2.58E-05
FCRL4,2.58E-05
AC234582.2,2.58E-05
DCAF4L2,2.58E-05
AC091729.1,2.57E-05
RNY3P13,2.57E-05
AC084026.1,2.57E-05
MTRNR2L10,2.57E-05
IBA57-AS1,2.57E-05
MZF1,2.57E-05
RNVU1-7,2.57E-05
OTOG,2.57E-05
LINC01830,2.57E-05
VCX:VCX3A,2.57E-05
CKAP2L,2.57E-05
AC245407.1,2.57E-05
A4GNT,2.56E-05
NCBP2-AS1,2.56E-05
PCDHB6,2.56E-05
TMEM107,2.56E-05
RASA2-IT1,2.56E-05
SLCO1B1,2.56E-05
TTLL3,2.56E-05
AC090651.1,2.56E-05
MYO16-AS2,2.55E-05
IL7:THAP12,2.55E-05
DHX15,2.55E-05
AC104758.5,2.55E-05
AC103691.1,2.55E-05
AC103591.3,2.55E-05
AC005034.2,2.55E-05
AC024614.2,2.55E-05
AL596188.1,2.55E-05
E2F1,2.55E-05
SOX11,2.55E-05
AC012417.1,2.55E-05
STK32C,2.55E-05
LINC01778,2.55E-05
LINC01612,2.55E-05
AC020917.2,2.55E-05
AL023875.1,2.54E-05
RUNDC3A,2.54E-05
IGFL3,2.54E-05
IDO1,2.54E-05
RNA5SP218,2.54E-05
RN7SL141P,2.54E-05
KRTAP5-7,2.54E-05
ZNF677,2.54E-05
SKA3,2.54E-05
SNORA70G,2.54E-05
RNASE1,2.54E-05
HYAL3,2.54E-05
AP003774.3,2.54E-05
TUBA3D:TUBA3E,2.54E-05
AC023632.5,2.54E-05
XCL1:XCL2,2.54E-05
AL133297.2,2.54E-05
AC009269.5,2.54E-05
PRDM1,2.53E-05
AL360181.2,2.53E-05
CYP2A13,2.53E-05
RAB4A,2.53E-05
ZSWIM2,2.53E-05
ZNF79,2.53E-05
AC004875.1,2.53E-05
RNF113B,2.53E-05
DUT,2.53E-05
AC010451.1,2.53E-05
AC013264.1,2.53E-05
GYPB,2.53E-05
AC083806.2,2.52E-05
C15orf61,2.52E-05
DDX6,2.52E-05
AL162258.1,2.52E-05
SRGAP3-AS2,2.52E-05
AC005034.4,2.52E-05
ALKBH2,2.52E-05
AC012653.2,2.52E-05
AC016924.1,2.52E-05
AC013356.2,2.52E-05
TRGC1,2.52E-05
EXOC3L4,2.52E-05
CHMP1B-AS1,2.52E-05
AL359258.2,2.52E-05
SCGB2A1,2.51E-05
AL355075.2,2.51E-05
AP001453.3,2.51E-05
RN7SL459P,2.51E-05
RNA5SP361,2.51E-05
AL133243.1,2.51E-05
AC010531.3,2.51E-05
CLEC4E,2.51E-05
RNU4-65P,2.51E-05
RN7SL795P,2.51E-05
AL513314.2:LINC01001,2.51E-05
CCNA2:KCNIP2-AS1,2.51E-05
AC129507.4,2.51E-05
AC005609.3,2.51E-05
LINC02109,2.51E-05
AC099560.1,2.50E-05
AP000577.1,2.50E-05
ZBTB46,2.50E-05
AL158151.2,2.50E-05
AC084030.1,2.50E-05
AL163953.1,2.50E-05
TMC5,2.50E-05
AL160163.1,2.50E-05
AL356966.1,2.50E-05
RN7SL306P,2.50E-05
LINC00945,2.50E-05
STPG3,2.50E-05
AC037198.3,2.50E-05
CENPN,2.50E-05
AL845331.2,2.50E-05
HS6ST2,2.50E-05
AL357375.1,2.50E-05
PAX9,2.50E-05
AC087276.2,2.50E-05
AC131212.1,2.50E-05
AC002310.6,2.50E-05
PCDHA2,2.49E-05
AC020978.3,2.49E-05
ZNF611:ZNF808,2.49E-05
ARHGEF15,2.49E-05
LINC01533,2.49E-05
AC006277.1,2.49E-05
AC032044.1,2.49E-05
TRIL,2.49E-05
AC127496.6,2.49E-05
GIGYF1,2.49E-05
AC079313.1,2.49E-05
AC011997.1:GLDC,2.49E-05
AC008568.1,2.49E-05
ALG1L2:ALG1L9P,2.49E-05
LINC01701,2.49E-05
AL592546.1,2.48E-05
AC114730.3,2.48E-05
LINC00358,2.48E-05
EBAG9,2.48E-05
AL031118.1,2.48E-05
CLEC4C,2.48E-05
AL583839.2,2.48E-05
NT5DC4,2.48E-05
AC018761.4,2.48E-05
AP001002.2,2.48E-05
AL356417.1,2.48E-05
AL122058.1,2.48E-05
ZNF367,2.48E-05
LINC01629,2.48E-05
RNU6-367P,2.48E-05
AL358333.2,2.48E-05
CEBPE,2.48E-05
AC109826.1,2.47E-05
ZCCHC9,2.47E-05
AC024224.2,2.47E-05
LINC02282,2.47E-05
AC011840.1,2.47E-05
AC010395.1,2.47E-05
AC009084.3,2.47E-05
LINC02078,2.47E-05
CCR7,2.47E-05
AC244153.1,2.47E-05
PTGER2,2.47E-05
C1orf74,2.47E-05
AC010285.2,2.47E-05
RN7SL604P,2.47E-05
AC079331.2,2.47E-05
AC136475.1,2.47E-05
MIR3123,2.47E-05
XXYLT1-AS2,2.47E-05
LINC01646,2.46E-05
ADAT3,2.46E-05
MLH3,2.46E-05
AL451140.1,2.46E-05
AL606763.1,2.46E-05
RN7SL36P,2.46E-05
AL160162.1,2.46E-05
LINC02401,2.46E-05
CFAP65,2.46E-05
CLIC1,2.46E-05
AC008750.3,2.46E-05
CYP2A6,2.46E-05
AC090844.3,2.46E-05
AL163932.1,2.46E-05
AC011466.2,2.46E-05
AC110285.4,2.46E-05
RN7SKP124,2.46E-05
HAUS2,2.46E-05
C7,2.46E-05
TYROBP,2.46E-05
SLC6A19,2.45E-05
AC079949.1,2.45E-05
AC011468.3,2.45E-05
AL035448.1,2.45E-05
AC006116.5,2.45E-05
AL021937.4,2.45E-05
AC093515.1,2.45E-05
ZNF621,2.45E-05
RNU6-1045P,2.45E-05
AP002765.2,2.45E-05
AC107983.2:CCDC144A,2.44E-05
RNY4:RNY4P10,2.44E-05
AC092718.4,2.44E-05
AC010207.1,2.44E-05
ATXN7L3,2.44E-05
ZNF669,2.44E-05
DDX41,2.44E-05
AP002993.1,2.44E-05
CD68,2.44E-05
C1orf35,2.44E-05
AC007952.4:SNORD3B-1,2.44E-05
AL353803.1,2.44E-05
PLEKHO2,2.44E-05
AL109767.1,2.44E-05
AC010891.1:LINC00280,2.43E-05
AC097381.2,2.43E-05
NANP,2.43E-05
AC068338.2,2.43E-05
MBD6,2.43E-05
AL732437.1,2.43E-05
AC064807.4,2.43E-05
P2RX4,2.43E-05
IDH1-AS1,2.43E-05
AC114763.2,2.43E-05
TM4SF18,2.42E-05
CLEC12A,2.42E-05
AL132639.4,2.42E-05
AC025165.1,2.42E-05
PITRM1-AS1,2.42E-05
KBTBD6,2.42E-05
AP001972.2,2.42E-05
CBX4,2.42E-05
GPR150,2.42E-05
PLEK,2.42E-05
AL354950.2,2.42E-05
BNC1,2.42E-05
AL139008.2,2.42E-05
SVIL-AS1,2.42E-05
SRA1,2.42E-05
TPRX1,2.42E-05
AP003471.1,2.41E-05
SHANK2-AS3,2.41E-05
AC074387.1:AC226101.2,2.41E-05
SACS-AS1,2.41E-05
SLC23A1,2.41E-05
LINC01423,2.41E-05
RNA5SP438,2.41E-05
AC120042.1,2.41E-05
AL121992.2,2.41E-05
AC091564.7,2.41E-05
AC005005.3,2.41E-05
AC004470.1:SPINK8,2.41E-05
RNU6-1293P:RNU6-156P,2.41E-05
AC127024.3,2.41E-05
AC025766.1,2.41E-05
SERPINA12,2.41E-05
AC009562.1,2.41E-05
SNORA36B,2.41E-05
BLCAP,2.41E-05
GYPB:GYPE,2.41E-05
IGSF1,2.40E-05
AC024581.1,2.40E-05
GOLGA6A:GOLGA6B,2.40E-05
AC005144.1,2.40E-05
AC112229.4:AC140479.5,2.40E-05
CEBPA-AS1,2.40E-05
AP000679.1,2.40E-05
YBX2,2.40E-05
AC116348.2,2.40E-05
AC027309.1,2.40E-05
AL357514.1,2.40E-05
LINC01415,2.40E-05
HNRNPUL2,2.40E-05
AC145207.2,2.39E-05
AL591475.1,2.39E-05
AL035425.1,2.39E-05
AC015909.4,2.39E-05
SSMEM1,2.39E-05
LINC02005,2.39E-05
AC130415.1,2.39E-05
AC148477.9,2.39E-05
AC079763.1,2.39E-05
GRSF1,2.39E-05
RN7SKP253,2.39E-05
CAPN1,2.39E-05
AC025871.2,2.39E-05
AC013356.4,2.38E-05
AC008742.1,2.38E-05
LINC01349,2.38E-05
ZNF184,2.38E-05
POTEE:POTEF,2.38E-05
GTF2IRD2B,2.38E-05
C11orf21,2.38E-05
AC062032.1,2.38E-05
GALR2,2.38E-05
ATP2C1,2.38E-05
CDC25B,2.38E-05
TRIM58,2.38E-05
AC005884.2,2.37E-05
Z97986.1,2.37E-05
AC007325.4:DGCR6,2.37E-05
CAMK1D,2.37E-05
AL136439.1,2.37E-05
AC021422.1,2.37E-05
AC004556.1:MRPL23,2.37E-05
RNU1-11P,2.37E-05
TRIM67,2.37E-05
LINC01288,2.37E-05
GCC2:RGPD3,2.37E-05
AC079456.1,2.37E-05
PPM1B,2.37E-05
AL450345.1,2.37E-05
RNF167,2.37E-05
AL355578.1,2.37E-05
AL162713.1,2.37E-05
AC112178.1,2.37E-05
PRELID3B,2.37E-05
SOX10,2.37E-05
LAD1,2.37E-05
AC025043.1,2.37E-05
PCDHGB3,2.36E-05
AC093151.2,2.36E-05
IQGAP3,2.36E-05
RNVU1-19,2.36E-05
CCL22,2.36E-05
NBPF6,2.36E-05
AC138956.2,2.36E-05
RN7SL587P,2.36E-05
RPA2,2.36E-05
RNU6-1279P,2.36E-05
C11orf72,2.36E-05
C16orf62,2.36E-05
AL158211.4,2.36E-05
GLOD5,2.35E-05
ZC3H11A,2.35E-05
ZDHHC14,2.35E-05
CEACAM8,2.35E-05
CCDC61,2.35E-05
AC078942.1,2.35E-05
AC114546.3,2.35E-05
LINC01427:ST13,2.35082E-05
RN7SL794P,2.35E-05
RN7SL116P,2.35E-05
DSG4,2.35E-05
AL158209.1,2.35E-05
DUSP13,2.34E-05
SAMD9L,2.34E-05
TNFRSF18,2.34E-05
AL512643.1,2.34E-05
AL391650.1,2.34E-05
RNU2-68P,2.34E-05
CD5L,2.34E-05
MTMR14,2.34E-05
AC093525.6,2.34E-05
ATP5J2-PTCD1,2.34E-05
LPP-AS2,2.34E-05
AC026358.1,2.34E-05
AC005996.2,2.34E-05
GFER,2.34E-05
HCFC1,2.33E-05
AL139011.1,2.33E-05
AC010547.5,2.33E-05
AC022400.1,2.33E-05
AC087222.1,2.33E-05
AL162274.3,2.33E-05
MED26,2.33E-05
HSFX3:HSFX4,2.33E-05
NLRP10,2.33E-05
AL161773.1,2.33E-05
MIR3671,2.33E-05
EML2-AS1,2.33E-05
AC008906.2,2.33E-05
POLI,2.33E-05
UBE3B,2.33E-05
AC016903.2,2.33E-05
AC099811.2,2.32E-05
AC016708.1,2.32E-05
PCDHA12,2.32E-05
RNA5SP295,2.32E-05
AC008878.1,2.32E-05
TSPAN11,2.32E-05
EMX2,2.32E-05
AC025171.1,2.32E-05
AC002115.1,2.32E-05
AC093725.1,2.31E-05
KRT72,2.31E-05
AL049637.1,2.31E-05
AL928654.4,2.31E-05
AC016968.1,2.31E-05
KRT78,2.31E-05
AC090589.3,2.31E-05
SLC22A12,2.31E-05
ANKRD52,2.31E-05
AP001528.1,2.31E-05
AC239803.2,2.31E-05
AC093422.2,2.31E-05
NOP56,2.31E-05
RNA5SP84,2.30E-05
AC007786.3,2.30E-05
AC112481.1,2.30E-05
AC125603.2,2.30E-05
DDX60L,2.30E-05
LINC00686,2.30E-05
TBX18-AS1,2.30E-05
ODF4,2.30E-05
AC087742.2,2.30E-05
AC004832.6,2.30E-05
AC025575.2,2.30E-05
LCN2,2.30E-05
RC3H1-IT1,2.30E-05
LINC01282,2.30E-05
AC092468.1,2.30E-05
OGFR-AS1,2.30E-05
IGSF3,2.30E-05
AP000894.3,2.29E-05
LINC00976,2.29E-05
MTG1,2.29E-05
CCL28,2.29E-05
AL138916.1,2.29E-05
ICOS,2.29E-05
AP001372.1,2.29E-05
AL033527.3,2.29E-05
AL365184.1,2.29E-05
AC068385.1,2.29E-05
KDR,2.29E-05
BX248409.2,2.29E-05
ZNF432,2.29E-05
AP000487.2,2.29E-05
RTEL1-TNFRSF6B,2.29E-05
AC099518.4,2.29E-05
AC135782.3,2.29E-05
BET1L,2.28E-05
OSBPL11,2.28E-05
AC006077.2,2.28E-05
AC118758.3,2.28E-05
CD81-AS1,2.28E-05
AL121852.1,2.28E-05
AL121823.1,2.28E-05
CNOT6,2.28E-05
LINC01082,2.28E-05
ITGAE,2.28E-05
KLF7-IT1,2.28E-05
AL034550.1,2.28E-05
C3orf56,2.28E-05
AC007342.1,2.28E-05
AC096564.2,2.28E-05
AL390061.1,2.27E-05
RNA5SP399,2.27E-05
AL807752.2,2.27E-05
WIZ,2.27E-05
LDHD,2.27E-05
SLC2A8,2.27E-05
LINC00608,2.27E-05
TSPAN16,2.27E-05
CDR2L,2.27E-05
KLHL22,2.26E-05
CD101,2.26E-05
LINC01898,2.26E-05
HUS1B,2.26E-05
AKR1B10,2.26E-05
SLIT1-AS1,2.26E-05
GPR52,2.26E-05
LINC00955,2.26E-05
TRIM29,2.26E-05
RN7SL815P,2.26E-05
CR1:CR1L,2.26E-05
AC022398.1,2.26E-05
ISM1-AS1,2.26E-05
SNHG17,2.26E-05
PRY:PRY2,2.26E-05
RNU6-199P,2.26E-05
ACVR2B-AS1,2.26E-05
AC099687.1,2.25E-05
VCX3B,2.25E-05
AL117379.1,2.25E-05
AL391415.1,2.25E-05
AL360089.1,2.25E-05
AC008481.3,2.25E-05
AC008875.1,2.25E-05
C5orf60,2.25E-05
AC034102.7,2.25E-05
AP001094.1,2.25E-05
GBF1,2.24E-05
UBAC1,2.24E-05
KAAG1,2.24E-05
OXCT2,2.24E-05
HOTAIRM1,2.24E-05
AC011516.1,2.24E-05
AC010731.2,2.24E-05
LINC01781,2.24E-05
AL355581.1,2.24E-05
AC092436.4,2.24E-05
TRIM66,2.24E-05
AC063947.1,2.24E-05
LINC01077,2.24E-05
AC090260.1,2.23E-05
AC016747.4,2.23E-05
AADAC,2.23E-05
NPIPA7:NPIPA8,2.23E-05
AL138752.2,2.23E-05
AL035078.1,2.23E-05
LINC01711,2.23E-05
TTC23L,2.23E-05
LINC01465,2.23E-05
AC108097.1,2.23E-05
AC131157.1,2.23E-05
AC005150.1,2.22E-05
ALB,2.22E-05
GYPC,2.22E-05
AC022447.6,2.22E-05
APOB,2.22E-05
AL137058.3,2.22E-05
ZNF699,2.22E-05
AC093159.1,2.22E-05
GM2A,2.22E-05
SMIM10,2.22E-05
LINC01510,2.22E-05
AC010907.2,2.22E-05
AL031719.1,2.22E-05
FKBP6,2.21E-05
NDUFAF4,2.21E-05
AC034231.1,2.21E-05
AC034226.1,2.21E-05
CCL4L2,2.21E-05
LTB4R2,2.21E-05
FEZF1-AS1,2.21E-05
AL353726.2,2.21E-05
AC090506.2,2.21E-05
AC017006.2,2.21E-05
AC006942.1,2.21E-05
RN7SL76P,2.21E-05
NPLOC4,2.21E-05
AL136304.1,2.21E-05
ERCC3,2.21E-05
AC003001.1,2.21E-05
SNORA70F,2.21E-05
TMEM143,2.21E-05
AC013436.1,2.21E-05
C20orf144,2.21E-05
AL365194.1,2.21E-05
IFNB1,2.21E-05
BX890604.1:FAM239A,2.20E-05
AL445307.1,2.20E-05
AL139316.1,2.20E-05
PCDHGA12,2.20E-05
PRAL,2.20E-05
RN7SL111P,2.20E-05
LIPN,2.20E-05
AL669831.3:LINC01002,2.20E-05
AC012306.2:LINC00863,2.20E-05
JAK3,2.20E-05
AC138932.2,2.20E-05
AP006621.1,2.20E-05
OR13C9,2.20E-05
AC114877.1,2.20E-05
CCDC22,2.20E-05
AC106876.1,2.20E-05
ZFPL1,2.20E-05
AC117383.1,2.19E-05
AL513165.2,2.19E-05
KIRREL2,2.19E-05
LINC02211,2.19E-05
FAM239A:FAM239C,2.19E-05
CAPN14,2.19E-05
RN7SL820P,2.19E-05
FUZ,2.19E-05
AP001351.1,2.19E-05
AC116903.1,2.19E-05
WFDC21P,2.19E-05
FAM234B,2.19E-05
KLHL41,2.19E-05
HCG25,2.19E-05
ATP5C1,2.19E-05
AL357552.2,2.19E-05
AC007128.2,2.19E-05
AC237221.1,2.19E-05
USP30-AS1,2.19E-05
AC084859.1,2.19E-05
AL358292.1,2.19E-05
HTR6,2.19E-05
LINC00852,2.19E-05
AC018521.3,2.19E-05
AL049651.2,2.19E-05
SFTPA1:SFTPA2,2.18E-05
AC130454.1,2.18E-05
EPCAM,2.18E-05
WBSCR28,2.18E-05
KCNK18,2.18E-05
EIF2B4,2.18E-05
F12,2.18E-05
NPY,2.18E-05
MIRLET7F1,2.18E-05
AC084756.1,2.18E-05
AC010737.1,2.18E-05
TMEM102,2.18E-05
AP001189.4,2.18E-05
LINC01521,2.18E-05
DOLPP1,2.18E-05
AL355377.2,2.18E-05
AL358473.1,2.17E-05
CEP55,2.17E-05
AC096575.1,2.17E-05
AC016027.3,2.17E-05
AC092070.4:FANCA,2.17E-05
GATAD2A,2.17E-05
AC120045.1:AC139426.2,2.17E-05
AC233723.2,2.17E-05
GABRR1,2.17E-05
AC021739.4,2.17E-05
SPINK9,2.17E-05
MIRLET7D,2.17E-05
ABCA13,2.17E-05
C21orf33:FP565260.6,2.17E-05
NFS1,2.17E-05
AC012507.1,2.17E-05
AC019133.2,2.17E-05
ENOX1-AS2,2.17E-05
LINC01584,2.16E-05
RABL2B,2.16E-05
MKRN2OS,2.16E-05
MYH6,2.16E-05
AC108025.1,2.16E-05
FGF22,2.16E-05
RNASE6,2.16E-05
MYO16-AS1,2.16E-05
AC090572.3,2.16E-05
AC090950.2,2.16E-05
LINC02372,2.16E-05
OR56A4,2.16E-05
RNU6-626P,2.16E-05
AC009060.1,2.16E-05
RPN1,2.16E-05
AL353658.2,2.16E-05
FAM87A:FAM87B,2.16E-05
AC007003.1:LINC01712,2.16E-05
AC093725.2,2.16E-05
LINC01987,2.16E-05
RNU1-8P,2.15E-05
AC023908.1,2.15E-05
XAGE1A:XAGE1B,2.15E-05
PM20D2,2.15E-05
OR52E2,2.15E-05
AL354714.1,2.15E-05
ZNF714,2.15E-05
AP000708.1,2.15E-05
AL160274.1,2.15E-05
AP001931.1,2.15E-05
RN7SL100P,2.15E-05
SAPCD1,2.15E-05
HP:HPR,2.15E-05
AC005786.3,2.15E-05
RNU6-450P,2.15E-05
AC233702.10,2.15E-05
MAN2B1,2.15E-05
AC083973.1,2.14E-05
AC005725.1,2.14E-05
IRF4,2.14E-05
HM13-AS1,2.14E-05
AL121748.2,2.14E-05
KANK1:RTL9,2.14E-05
LINC00858,2.14E-05
AC018946.1,2.14E-05
CD248,2.14E-05
HES6,2.14E-05
AC092336.1,2.14E-05
AC090912.2,2.14E-05
AC091060.1,2.14E-05
AL157392.4,2.13E-05
RNU4-80P,2.13E-05
RNU6-10P,2.13E-05
C16orf59,2.13E-05
DNAI2,2.13E-05
AL451069.2,2.13E-05
AC021087.3:AC026412.3,2.13E-05
TBC1D3I,2.13E-05
RNF216-IT1,2.13E-05
CCDC87,2.13E-05
RNU6-1157P,2.12E-05
AL135786.2,2.12E-05
PGLYRP3,2.12E-05
RBM27,2.12E-05
ZNF649-AS1,2.12E-05
LIPK,2.12E-05
AL445488.1,2.12E-05
AC093752.3,2.12E-05
SNORA11B,2.12E-05
AC093525.7,2.12E-05
AC026904.3,2.12E-05
FIGNL1,2.12E-05
RNA5SP454,2.12E-05
SRCAP,2.12E-05
BX324167.2,2.12E-05
LINC00395,2.12E-05
AP005432.2,2.12E-05
ADGRE3:ITGB1,2.12E-05
CORO7-PAM16,2.12E-05
LYST-AS1,2.12E-05
LINC02046,2.12E-05
RNU1-93P,2.12E-05
SLC35G3,2.12E-05
LINC02214,2.12E-05
IGLC3,2.12E-05
AC093904.3,2.12E-05
LINC02262,2.12E-05
AC022039.1,2.11E-05
ZNF416,2.11E-05
TYMSOS,2.11E-05
CHMP5:SLC9A7,2.11E-05
AC025811.1,2.11E-05
AL121749.1,2.11E-05
FAM72C,2.11E-05
AC010260.1,2.11E-05
GOLGA6L22:GOLGA6L6,2.11E-05
ARHGAP11A:ARHGAP11B,2.11E-05
AP003119.1,2.11E-05
AC060765.1,2.11E-05
PITPNM2-AS1,2.11E-05
AC027348.2,2.11E-05
VGLL3,2.11E-05
ACTL7A,2.11E-05
CYLC1,2.11E-05
AC068870.1,2.11E-05
AC112229.4,2.11E-05
C4A,2.11E-05
AL109610.1,2.10E-05
C1orf141,2.10E-05
LRRC10B,2.10E-05
HARBI1,2.10E-05
AC067945.3,2.10E-05
PFN3,2.10E-05
LINC02465:MS4A5,2.10E-05
AC007009.1,2.10E-05
AC004808.1,2.10E-05
AL513523.10,2.10E-05
RNU6-998P,2.10E-05
CTDP1,2.10E-05
LINC00968,2.10E-05
AC002511.1,2.10E-05
POMGNT2,2.09E-05
RNU11-2P,2.09E-05
AC073573.1,2.09E-05
AC008507.2,2.09E-05
C18orf63,2.09E-05
RN7SL65P,2.09E-05
AC002059.1,2.09E-05
AL161907.1,2.09E-05
AL161646.2,2.09E-05
HSPBP1,2.09E-05
GS1-594A7.3,2.08E-05
BLOC1S3,2.08E-05
ZC3H4,2.08E-05
TEX26-AS1,2.08E-05
RTEL1,2.08E-05
AC092919.1,2.08E-05
AC010266.1,2.08E-05
AC110716.2,2.08E-05
AC064805.1,2.08E-05
OR2AG2,2.08E-05
AP005229.1,2.08E-05
CUTC,2.08E-05
AL121753.2,2.08E-05
TNK2-AS1,2.08E-05
PMAIP1,2.07E-05
DPY19L4,2.07E-05
GCC2-AS1,2.07E-05
HP,2.07E-05
PDILT,2.07E-05
GIMAP1,2.07E-05
LINC01428:MYO1F,2.07E-05
AL136979.1,2.07E-05
AC092590.1,2.07E-05
FARSA-AS1,2.07E-05
SYNC,2.07E-05
ABCG5,2.07E-05
LINC01971,2.07E-05
AL138995.1,2.07E-05
ACBD5,2.06E-05
AL355974.3,2.06E-05
ASB18,2.06E-05
HAP1:IL17D,2.06E-05
RNU6-352P,2.06E-05
AC008736.1,2.06E-05
AD000864.1,2.06E-05
RNU6-195P,2.06E-05
MYL10,2.06E-05
AC021766.1,2.06E-05
AC016722.1,2.06E-05
AC009812.3,2.06E-05
AC105219.1,2.06E-05
CYP17A1,2.06E-05
BMP8A,2.06E-05
LNP1,2.06E-05
LRRC27,2.06E-05
AC079610.2,2.06E-05
RN7SL197P,2.05E-05
CFAP47,2.05E-05
RNU11-6P,2.05E-05
AP003119.2,2.05E-05
AC084026.2,2.05E-05
HCG23,2.05E-05
DKFZP434H168,2.05E-05
AC105137.3,2.05E-05
MUT,2.05E-05
HLA-G,2.05E-05
AP000424.1,2.05E-05
RN7SL735P,2.05E-05
AL122008.3,2.05E-05
CD99L2,2.04E-05
RNU6-947P,2.04E-05
CORT,2.04E-05
AC138907.8:AC145350.2,2.04E-05
PTHLH,2.04E-05
RNU6-1258P,2.04E-05
LINC01046,2.04E-05
AL512638.2,2.04E-05
CLPSL2,2.04E-05
CD300C,2.04E-05
FCRL3,2.04E-05
NKX2-5,2.04E-05
AC106772.1,2.04E-05
NANOGP8,2.04E-05
RN7SL553P,2.04E-05
AP003170.4,2.04E-05
RNU6-828P,2.04E-05
LINC00703,2.04E-05
AC023762.1,2.04E-05
AL360169.2,2.04E-05
AC007731.1,2.04E-05
CRYGN,2.04E-05
AL358115.1,2.04E-05
CYP1A2,2.03E-05
WDFY1,2.03E-05
LINC02290,2.03E-05
XIAP-AS1,2.03E-05
AC010997.5,2.03E-05
LINC01978,2.03E-05
AC139792.2,2.03E-05
PDCD2L,2.03E-05
AC104257.1,2.03E-05
AC107926.1,2.03E-05
AC120498.8,2.03E-05
RNU6-1004P,2.02E-05
PRCC,2.02E-05
AP001160.3,2.02E-05
AC068057.1,2.02E-05
AC079915.1,2.02E-05
RN7SL862P,2.02E-05
FTX_3,2.02E-05
AC011511.4,2.02E-05
CD9,2.02E-05
AC109462.2,2.02E-05
AC004801.3,2.02E-05
AL133415.1,2.02E-05
UBL4B,2.02E-05
TPSAB1,2.02E-05
LINC00348,2.01E-05
GJD4,2.01E-05
ZNF467,2.01E-05
AC018467.1,2.01E-05
AC019080.3,2.01E-05
FADD,2.01E-05
AL136320.1,2.01E-05
NOTCH4,2.01E-05
AC096996.2,2.01E-05
LINC01966,2.01E-05
ZNF419,2.01E-05
TMEM114,2.01E-05
RN7SL756P,2.01E-05
RPS6KB2,2.01E-05
AC145285.2,2.01E-05
AF213884.3,2.01E-05
P2RY4,2.01E-05
LZTS2,2.01E-05
AC010181.2,2.00E-05
AP000238.1,2.00E-05
MT-TF,2.00E-05
NPIPA5,2.00E-05
AL390243.1,2.00E-05
AP002505.2,2.00E-05
PTCSC2,2.00E-05
LINC01222,2.00E-05
AC131159.1,2.00E-05
CTAG2,2.00E-05
EIF5AL1,2.00E-05
C14orf166,2.00E-05
AP000350.7,2.00E-05
NUTM2B:NUTM2D,2.00E-05
C1orf216,2.00E-05
LDHAL6B,2.00E-05
AC005858.3,2.00E-05
CABP5,1.99E-05
LINC02370,1.99E-05
AC107953.2,1.99E-05
AF181450.1,1.99E-05
AC084365.1,1.99E-05
AC093503.1,1.99E-05
TUSC8,1.99E-05
PPP1R18,1.99E-05
KRT76,1.99E-05
AC023302.1,1.99E-05
C6orf141,1.99E-05
KPNA7,1.99E-05
RN7SL693P,1.99E-05
AL121892.1,1.99E-05
MASTL,1.99E-05
AL031773.1,1.99E-05
TNFSF10,1.99E-05
AL355339.1,1.98E-05
AC096772.1,1.98E-05
AC022211.4,1.98E-05
KDM4D,1.98E-05
AL160191.1,1.98E-05
CU633906.2,1.98E-05
GPR19,1.98E-05
RN7SL582P,1.98E-05
NTN3,1.98E-05
GAMT,1.98E-05
AC016553.1,1.98E-05
